,sentiment,Open,High,Low,Close,Volume
2021-03-19,0.5417471726735433,57850.44140625,59498.375,56643.703125,58346.65234375,49063873786
2021-03-20,0.6715884572929807,58332.26171875,60031.28515625,58213.296875,58313.64453125,50361731222
2021-03-21,0.054770595497555204,58309.9140625,58767.8984375,56005.6171875,57523.421875,51943414539
2021-03-22,0.24082389946967836,57517.890625,58471.48046875,54288.15625,54529.14453125,56521454974
2021-03-23,0.13414886139206966,54511.66015625,55985.44140625,53470.6953125,54738.9453125,56435023914
2021-03-24,0.4494110345840454,54710.48828125,57262.3828125,52514.33203125,52774.265625,70567223787
2021-03-25,0.29030856158998275,52726.74609375,53392.38671875,50856.5703125,51704.16015625,67999812841
2021-03-26,0.3423732763528824,51683.01171875,55137.3125,51579.85546875,55137.3125,56652197978
2021-03-27,0.37048483811891997,55137.56640625,56568.21484375,54242.91015625,55973.51171875,47266542233
2021-03-28,0.32280751435380234,55974.94140625,56610.3125,55071.11328125,55950.74609375,47686580918
2021-03-29,0.5566678681156852,55947.8984375,58342.09765625,55139.33984375,57750.19921875,57625587027
2021-03-30,0.5173750165849924,57750.1328125,59447.22265625,57251.55078125,58917.69140625,54414116432
2021-03-31,0.3059046474449775,58930.27734375,59930.02734375,57726.41796875,58918.83203125,65520826225
2021-04-01,0.5125422527392706,58926.5625,59586.0703125,58505.27734375,59095.80859375,61669163792
2021-04-02,0.5791911040582964,59098.87890625,60267.1875,58869.28125,59384.3125,58727860620
2021-04-03,0.6066612154245377,59397.41015625,60110.26953125,57603.890625,57603.890625,59641344484
2021-04-04,0.24677853215308415,57604.83984375,58913.74609375,57168.67578125,58758.5546875,50749662970
2021-04-05,0.5288937130282002,58760.875,59891.296875,57694.82421875,59057.87890625,60706272115
2021-04-06,0.4993450172019727,59171.93359375,59479.578125,57646.80859375,58192.359375,66058027988
2021-04-07,0.2604084198779248,58186.5078125,58731.14453125,55604.0234375,56048.9375,75645303584
2021-04-08,0.3125074966387315,56099.9140625,58338.73828125,55879.0859375,58323.953125,53053855641
2021-04-09,0.4189076728937102,58326.5625,58937.046875,57807.86328125,58245.00390625,46655208546
2021-04-10,0.5375072369351983,58253.77734375,61276.6640625,58038.70703125,59793.234375,58238470525
2021-04-11,0.7144891988663447,59846.23046875,60790.5546875,59289.796875,60204.96484375,46280252580
2021-04-12,0.5498825376448424,60175.9453125,61253.03515625,59589.875,59893.453125,51828688519
2021-04-13,0.6670673821793228,59890.01953125,63742.28515625,59869.95703125,63503.45703125,69983454362
2021-04-14,0.5341988296009773,63523.75390625,64863.09765625,61554.796875,63109.6953125,77451779687
2021-04-15,0.5049086717458872,63075.1953125,63821.671875,62208.96484375,63314.01171875,60954381579
2021-04-16,0.21218909788876772,63258.50390625,63594.72265625,60222.53125,61572.7890625,84293007468
2021-04-17,0.30290602147579193,61529.921875,62572.17578125,60361.3515625,60683.8203125,66138759198
2021-04-18,-0.10492217156194872,60701.88671875,61057.45703125,52829.53515625,56216.18359375,97468872758
2021-04-19,0.3097904821236928,56191.5859375,57520.0546875,54368.59375,55724.265625,65344865159
2021-04-20,0.14546597636107242,55681.79296875,57062.1484375,53448.046875,56473.03125,67849323955
2021-04-21,-0.06105529836245945,56471.12890625,56757.97265625,53695.46875,53906.08984375,54926612466
2021-04-22,0.10043168718164618,53857.10546875,55410.23046875,50583.8125,51762.2734375,74798630778
2021-04-23,0.09692047238349914,51739.80859375,52120.79296875,47714.6640625,51093.65234375,86668667320
2021-04-24,0.41535865515470505,51143.2265625,51167.5625,48805.28515625,50050.8671875,49014494781
2021-04-25,0.3716905949016412,50052.83203125,50506.01953125,47159.484375,49004.25390625,46117114240
2021-04-26,0.30245386524633927,49077.79296875,54288.00390625,48852.796875,54021.75390625,58284039825
2021-04-27,0.4609832486936024,54030.3046875,55416.96484375,53319.1875,55033.1171875,49448222757
2021-04-28,0.4960345344723396,55036.63671875,56227.20703125,53887.91796875,54824.703125,48000572955
2021-04-29,0.46360082448797024,54858.08984375,55115.84375,52418.02734375,53555.109375,46088929780
2021-04-30,0.24930978370340248,53568.6640625,57900.71875,53129.6015625,57750.17578125,52395931985
2021-05-01,0.5349217935612327,57714.6640625,58448.33984375,57052.2734375,57828.05078125,42836427360
2021-05-02,0.0564231351017952,57825.86328125,57902.59375,56141.90625,56631.078125,38177405335
2021-05-03,0.47768614689509076,56620.2734375,58973.30859375,56590.87109375,57200.29296875,51713139031
2021-05-04,0.24185056546155145,57214.1796875,57214.1796875,53191.42578125,53333.5390625,68564706967
2021-05-05,0.3548652729950845,53252.1640625,57911.36328125,52969.0546875,57424.0078125,69241316747
2021-05-06,0.5882080612887799,57441.30859375,58363.31640625,55382.5078125,56396.515625,69523285106
2021-05-07,0.6562141083901928,56413.953125,58606.6328125,55321.84765625,57356.40234375,68434023376
2021-05-08,0.5073297560214997,57352.765625,59464.61328125,56975.2109375,58803.77734375,65382980634
2021-05-09,0.5323952244860786,58877.390625,59210.8828125,56482.00390625,58232.31640625,65906690347
2021-05-10,0.41666496482988197,58250.87109375,59519.35546875,54071.45703125,55859.796875,71776546298
2021-05-11,0.344246889288361,55847.2421875,56872.54296875,54608.65234375,56704.57421875,61308396325
2021-05-12,0.2545320610684085,56714.53125,57939.36328125,49150.53515625,49150.53515625,75215403907
2021-05-13,-0.04874589595388859,49735.43359375,51330.84375,46980.01953125,49716.19140625,96721152926
2021-05-14,0.20138077598351697,49682.98046875,51438.1171875,48868.578125,49880.53515625,55737497453
2021-05-15,0.19464780149921293,49855.49609375,50639.6640625,46664.140625,46760.1875,59161047474
2021-05-16,-0.16404947721295887,46716.63671875,49720.04296875,43963.3515625,46456.05859375,64047871555
2021-05-17,-0.07582107458322768,46415.8984375,46623.55859375,42207.2890625,43537.51171875,74903638450
2021-05-18,0.27970572069604344,43488.05859375,45812.45703125,42367.83203125,42909.40234375,56187365084
2021-05-19,-0.31013852745059906,42944.9765625,43546.1171875,30681.49609375,37002.44140625,126358098747
2021-05-20,0.14970167376557175,36753.66796875,42462.984375,35050.6171875,40782.73828125,88281943359
2021-05-21,0.05785989901598762,40596.94921875,42172.171875,33616.453125,37304.69140625,82051616861
2021-05-22,0.1037993711233139,37371.03125,38831.0546875,35383.68359375,37536.6328125,57377273240
2021-05-23,-0.02933121568117386,37531.44921875,38289.21875,31227.33984375,34770.58203125,78469274361
2021-05-24,0.17556752264499664,34700.36328125,39835.140625,34551.08203125,38705.98046875,67359584098
2021-05-25,0.2577026605606079,38795.78125,39776.3515625,36581.4296875,38402.22265625,56211915803
2021-05-26,0.19044823543383524,38392.625,40782.078125,37905.8359375,39294.19921875,51346735160
2021-05-27,0.28669663799273504,39316.890625,40379.6171875,37247.90234375,38436.96875,43210968721
2021-05-28,0.00159163735806942,38507.08203125,38856.96875,34779.0390625,35697.60546875,55200191952
2021-05-29,-0.09543100321615064,35684.15625,37234.5,33693.9296875,34616.06640625,45231013335
2021-05-30,0.015262920547414708,34607.40625,36400.66796875,33520.73828125,35678.12890625,31646080921
2021-05-31,0.34201785771152643,35658.59375,37468.25,34241.9453125,37332.85546875,39009847639
2021-06-01,0.2647632917477971,37293.79296875,37896.734375,35787.0859375,36684.92578125,34639423297
2021-06-02,0.24814006757168544,36699.921875,38231.33984375,35966.30859375,37575.1796875,33070867190
